"";"voting.group";"slope_with_covs";"slope_without_covs";"slope_with_covs_add_cntry";"slope_without_covs_add_cntry";"n.x";"observed_r";"n.y";"anti.imm";"pro.env"
"225";"NL: did not vote";0,136533676726789;0,160499221518332;0,252495165156158;0,29990785284391;1661;0,151139500050089;292;0;0
"226";"NL: Don't know";0,13603223517459;0,159303242553842;0,25199372360396;0,29871187387942;1661;0,103898491237483;59;0;0
"227";"NL: Green Left";0,174339143362749;0,206554945960714;0,290300631792119;0,345963577286292;1661;0,243676467316941;62;0;1
"228";"NL: Labour Party";0,169406796515699;0,205604902995951;0,285368284945069;0,345013534321529;1661;0,210569412003141;217;0;0
"229";"NL: No answer";0,13661807635548;0,155081290299765;0,25257956478485;0,294489921625342;1661;-0,115005292494962;12;0;0
"230";"NL: not eligible: age";0,203560240139778;0,226708252545722;0,319521728569148;0,366116883871299;1661;0,383042319706669;95;0;0
"231";"NL: not eligible: citizenship";0,182570604328277;0,214996952014127;0,298532092757647;0,354405583339705;1661;0,409973131679379;18;0;0
"232";"NL: not eligible: other";0,144919700486945;0,165918384163947;0,260881188916315;0,305327015489525;1661;-0,767383415906547;5;0;0
"233";"NL: Other";0,148364584099316;0,166906735216463;0,264326072528686;0,306315366542041;1661;0,114013622691663;7;0;0
"234";"NL: Party for Freedom";0,0903609936010661;0,0968844619040162;0,206322482030436;0,236293093229594;1661;-0,00660462053827048;100;1;0
"235";"NL: Party for the Animals";0,163826776248056;0,18492618932318;0,279788264677426;0,324334820648758;1661;0,275536264863262;33;0;1
"236";"NL: People's Party for Freedom and Democracy";0,115068995316158;0,138176465428123;0,231030483745528;0,277585096753701;1661;0,100201743321694;270;0;0
"237";"NL: Reformed Political Party";0,129358315811938;0,149755643910005;0,245319804241308;0,289164275235583;1661;0,0929222457147085;22;1;0
"238";"NL: Refusal";0,151375684697374;0,171430290946237;0,267337173126743;0,310838922271815;1661;-0,143264839179288;11;0;0
"239";"NL: Socialist Party";0,16745390184144;0,189620735067283;0,28341539027081;0,329029366392861;1661;0,171957730741734;99;0;0
"240";"NO: Centre Party (SP)";0,164665508532142;0,177674927719227;0,370547777282889;0,420644887692802;1538;0,34780239872366;59;0;0
"241";"NO: Christian Democratic Party (KRF)";0,158268366659486;0,194932789471717;0,364150635410233;0,437902749445293;1538;0,24149433895113;55;0;0
"242";"NO: Conservative Party (H)";0,109837891168366;0,122940032180495;0,315720159919113;0,365909992154071;1538;0,195810345023903;347;0;0
"243";"NO: did not vote";0,148526745179268;0,166415829775296;0,354409013930015;0,409385789748872;1538;0,238901974639464;165;0;0
"244";"NO: Don't know";0,147271637941989;0,172401163790337;0,353153906692736;0,415371123763913;1538;0,386196171271824;22;0;0
"245";"NO: Green Party (MDG)";0,169371333782943;0,205564203988266;0,37525360253369;0,448534163961842;1538;0,124344103380711;34;0;1
"246";"NO: Labour Party (A)";0,153075747215397;0,185074948334498;0,358958015966144;0,428044908308074;1538;0,272349906042135;395;0;0
"247";"NO: Liberal Party (V)";0,116026302297095;0,150301120082508;0,321908571047842;0,393271080056084;1538;0,0136381415447995;51;0;1
"248";"NO: not eligible: age";0,163594463740018;0,179366603415148;0,369476732490765;0,422336563388724;1538;0,291378474307882;111;0;0
"249";"NO: not eligible: citizenship";0,15766457832566;0,183566997343351;0,363546847076406;0,426536957316927;1538;0,329216646680897;59;0;0
